Rank,Stadium,Capacity,City,State,Year.opened,Type,Tenant,Link
130,Ladd–Peebles Stadium,"40,646",Mobile,Alabama,1948,Football,"South Alabama Jaguars, Senior Bowl and GoDaddy.com Bowl",https://en.wikipedia.org/wiki/Ladd%E2%80%93Peebles_Stadium
131,Guaranteed Rate Field,"40,615",Chicago,Illinois,1991,Baseball,Chicago White Sox,https://en.wikipedia.org/wiki/Guaranteed_Rate_Field
132,Dreamstyle Stadium,"40,094",Albuquerque,New Mexico,1960,Football,"New Mexico Lobos, New Mexico Bowl",https://en.wikipedia.org/wiki/Dreamstyle_Stadium
133,Howard J. Lamade Stadium,"40,000[39]",South Williamsport,Pennsylvania,1959,Baseball,"no home team, hosts annual Little League World Series",https://en.wikipedia.org/wiki/Howard_J._Lamade_Stadium
134,Rentschler Field,"40,000",East Hartford,Connecticut,2003,Football,"Connecticut Huskies, Hartford Colonials",https://en.wikipedia.org/wiki/Rentschler_Field_(stadium)
135,Michie Stadium,"40,000",West Point,New York,1924,Football,Army Black Knights,https://en.wikipedia.org/wiki/Michie_Stadium
136,Nippert Stadium,"40,000",Cincinnati,Ohio,1915,Football,Cincinnati Bearcats football / FC Cincinnati,https://en.wikipedia.org/wiki/Nippert_Stadium
137,TDECU Stadium,"40,000",Houston,Texas,2014,Football,Houston Cougars,https://en.wikipedia.org/wiki/TDECU_Stadium
138,Vanderbilt Stadium at Dudley Field,"39,790",Nashville,Tennessee,1922,Football,Vanderbilt Commodores,https://en.wikipedia.org/wiki/Vanderbilt_Stadium
139,Target Field,"39,504",Minneapolis,Minnesota,2010,Baseball,Minnesota Twins,https://en.wikipedia.org/wiki/Target_Field
140,Ewing M. Kauffman Stadium,"39,000",Kansas City,Missouri,1973,Baseball,Kansas City Royals,https://en.wikipedia.org/wiki/Kauffman_Stadium
141,PNC Park,"38,496",Pittsburgh,Pennsylvania,2001,Baseball,Pittsburgh Pirates,https://en.wikipedia.org/wiki/PNC_Park
142,Joan C. Edwards Stadium,"38,019",Huntington,West Virginia,1991,Football,Marshall Thundering Herd,https://en.wikipedia.org/wiki/Joan_C._Edwards_Stadium
143,Progressive Field,"38,000",Cleveland,Ohio,1994,Baseball,Cleveland Indians,https://en.wikipedia.org/wiki/Progressive_Field
144,Fenway Park,"37,402",Boston,Massachusetts,1912,Baseball,Boston Red Sox,https://en.wikipedia.org/wiki/Fenway_Park
145,Albertsons Stadium,"37,000",Boise,Idaho,1970,Football,"Boise State Broncos, Famous Idaho Potato Bowl",https://en.wikipedia.org/wiki/Albertsons_Stadium
146,Marlins Park,"37,000",Miami,Florida,2012,Baseball,Miami Marlins,https://en.wikipedia.org/wiki/Marlins_Park
147,Tropicana Field,"36,973",St. Petersburg,Florida,1990,Baseball,"Tampa Bay Rays, Beef 'O' Brady's Bowl",https://en.wikipedia.org/wiki/Tropicana_Field
148,Sam Boyd Stadium,"36,800",Las Vegas,Nevada,1971,Football,"UNLV Rebels, annual Las Vegas Bowl and USA Sevens and Monster Jam World Finals",https://en.wikipedia.org/wiki/Sam_Boyd_Stadium
149,M. M. Roberts Stadium,"36,000",Hattiesburg,Mississippi,1932,Football,Southern Miss Golden Eagles,https://en.wikipedia.org/wiki/M._M._Roberts_Stadium
150,Martin Stadium,"35,117",Pullman,Washington,1972,Football,Washington State Cougars,https://en.wikipedia.org/wiki/Martin_Stadium
151,Sonny Lubick Field at Hughes Stadium,"34,400",Fort Collins,Colorado,1968,Football,Colorado State Rams,https://en.wikipedia.org/wiki/Sonny_Lubick_Field_at_Hughes_Stadium
